,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
BP10,NS16,WEEKENDS/HOLIDAY,,0.1,0.5,,0.6,0.8,0.2,0.2,0.9,0.5,0.5,0.2,0.8,0.5,0.9,0.1,0.1,0.6,,0.1
BP10,NS17/CC15,WEEKDAY,,,,,0.2,,,,,,,,,,,,,,,
BP10,NS17/CC15,WEEKENDS/HOLIDAY,,,,,,,,,,0.2,,,,,,,,,,
BP10,NS18,WEEKENDS/HOLIDAY,,,,,,,,,,,,,0.1,0.2,,,,,,
BP10,NS19,WEEKDAY,,,0.5,,,0.3,,0.1,0.1,0.1,,0.1,,,,,,,,
BP10,NS19,WEEKENDS/HOLIDAY,,,,0.2,0.4,,0.1,,0.1,,0.1,0.1,0.2,0.1,0.1,,0.1,,0.1,
BP10,NS2,WEEKDAY,,2.0,3.0,4.3,2.1,1.5,1.2,1.0,1.7,1.9,1.5,1.5,2.2,2.3,2.9,1.0,1.6,1.2,1.2,0.9
BP10,NS2,WEEKENDS/HOLIDAY,,0.5,1.5,1.0,1.9,1.2,1.5,1.1,1.5,3.0,1.1,2.4,2.0,2.0,1.4,0.2,1.5,1.6,1.0,0.5
BP10,NS20,WEEKDAY,,,,,0.1,0.1,,,,0.1,,,,,,,,,,
BP10,NS20,WEEKENDS/HOLIDAY,,,,,,,,,0.2,,,,,,,,,,,
BP10,NS21/DT11,WEEKDAY,,,0.1,,,,,,0.1,,0.1,,,,,,,,,
BP10,NS21/DT11,WEEKENDS/HOLIDAY,,,,,,,,0.1,,,,0.1,,,,,,,,
BP10,NS22,WEEKENDS/HOLIDAY,,,,,,,,0.1,,,,,,0.1,,,,,,
BP10,NS23,WEEKENDS/HOLIDAY,,,,,,,,,,,,,,0.1,,,,,,
BP10,NS24/NE6/CC1,WEEKDAY,,,,,,,,,,0.1,,,,,,,,,,
BP10,NS28,WEEKDAY,,,,,,0.2,,,,,,,,,,,,,,
BP10,NS28,WEEKENDS/HOLIDAY,,,,,,0.1,,,,,,,,,,,,,,
BP10,NS3,WEEKDAY,,0.5,1.4,3.2,1.8,1.5,2.0,1.7,1.0,1.0,1.5,1.9,1.4,1.2,2.0,0.7,0.4,0.2,0.1,
BP10,NS3,WEEKENDS/HOLIDAY,,0.4,0.5,2.6,1.6,4.0,2.6,2.6,2.0,2.1,3.2,2.5,1.5,1.0,0.9,0.6,0.9,0.5,0.2,
BP10,NS4/BP1,WEEKDAY,,14.1,46.1,28.5,13.0,13.3,12.0,14.1,11.2,11.8,10.7,9.0,8.2,10.8,9.2,6.7,4.1,3.4,2.0,2.0
BP10,NS4/BP1,WEEKENDS/HOLIDAY,,5.8,11.1,5.5,12.9,14.4,15.4,14.8,14.2,16.5,13.1,11.1,8.0,15.2,11.5,7.5,3.4,3.0,2.0,2.5
BP10,NS5,WEEKDAY,,0.3,6.8,6.5,3.3,1.3,2.1,2.5,1.0,3.5,1.5,3.0,2.3,1.9,3.5,2.8,1.1,1.2,1.1,0.8
BP10,NS5,WEEKENDS/HOLIDAY,,,0.5,2.2,2.9,2.8,3.8,3.6,3.8,3.1,3.4,2.6,2.0,1.8,1.8,1.1,1.6,0.2,0.9,1.0
BP10,NS7,WEEKDAY,,3.5,3.2,4.8,2.2,0.1,0.3,0.1,0.3,,0.1,0.1,,0.9,0.6,,,,,
BP10,NS7,WEEKENDS/HOLIDAY,,2.6,1.5,1.4,0.8,0.5,0.6,0.2,,,0.1,,,0.2,0.8,,0.1,,,
BP10,NS8,WEEKDAY,,2.0,0.5,0.7,0.3,0.1,0.5,0.2,0.3,0.2,0.1,0.2,0.5,0.3,0.5,0.2,0.1,1.0,0.1,
BP10,NS8,WEEKENDS/HOLIDAY,,2.2,0.1,0.6,0.4,0.9,0.1,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.1,,0.1,1.1,0.6,
BP10,NS9/TE2,WEEKDAY,,2.8,2.4,1.9,0.7,1.0,1.1,0.9,1.8,1.5,1.0,0.9,1.5,3.3,1.7,1.0,0.7,0.5,0.3,
BP10,NS9/TE2,WEEKENDS/HOLIDAY,,1.2,0.5,1.9,1.1,0.6,1.0,1.8,1.5,1.9,1.4,2.1,1.1,2.4,1.8,0.8,1.0,0.4,0.2,
BP10,TE1,WEEKDAY,,,,,0.1,,,,,,,,,,,,,,,
BP10,TE3,WEEKDAY,,,0.1,,,0.1,,,,,,,,,,,,,,
BP10,TE3,WEEKENDS/HOLIDAY,,,,,,0.1,,,,,,,,,,,,,,
BP11,BP10,WEEKDAY,,0.5,2.6,6.0,7.0,4.0,0.6,0.3,0.5,0.1,0.4,0.2,0.1,3.9,7.9,4.8,0.4,0.5,,
BP11,BP10,WEEKENDS/HOLIDAY,,0.1,,0.1,0.2,0.4,0.8,0.2,,0.6,1.0,0.2,0.8,0.1,1.0,1.1,0.9,,,
BP11,BP12,WEEKDAY,,,3.6,5.3,3.0,2.8,2.1,2.2,3.6,2.2,2.3,2.4,2.7,3.8,5.0,3.5,2.1,2.6,0.8,0.8
BP11,BP12,WEEKENDS/HOLIDAY,,,0.2,1.0,1.0,3.1,2.5,3.2,3.6,3.4,2.4,2.2,1.1,3.0,2.6,4.9,1.8,1.0,0.5,1.2
BP11,BP13,WEEKDAY,,3.3,4.7,6.8,1.1,2.8,2.6,2.8,3.5,3.1,2.7,4.6,3.8,3.7,3.7,2.8,3.0,1.6,1.1,0.3
BP11,BP13,WEEKENDS/HOLIDAY,,1.1,1.9,2.0,1.5,3.6,2.5,3.6,3.0,3.4,2.1,3.9,2.9,4.2,2.9,3.2,2.9,1.1,0.4,0.1
BP11,BP2,WEEKDAY,,1.6,5.9,3.5,2.5,2.5,2.0,1.4,3.4,2.6,1.7,2.1,2.9,3.3,2.7,3.5,3.8,2.0,1.8,0.4
BP11,BP2,WEEKENDS/HOLIDAY,,1.2,0.6,1.4,2.8,3.6,1.1,2.0,3.9,2.9,1.5,2.2,3.1,2.9,2.6,2.9,1.8,2.9,2.4,1.1
BP11,BP3,WEEKDAY,,,6.0,6.8,3.1,1.5,2.2,2.1,1.5,7.0,3.9,3.5,3.6,5.7,7.4,3.1,1.6,1.7,2.1,
BP11,BP3,WEEKENDS/HOLIDAY,,0.1,1.9,1.4,1.5,1.6,1.1,3.8,3.2,2.8,4.6,1.9,4.0,4.1,3.6,2.1,1.0,2.1,1.8,0.2
BP11,BP4,WEEKDAY,,0.3,1.4,13.5,12.4,11.6,3.1,2.5,5.9,4.4,2.7,3.1,2.0,2.6,4.1,3.1,1.3,1.2,1.9,0.1
